 0.5304357E+00   single scattering albedo
 0.2495167E+01   scattering cross section
 0.4703995E+01   extinction cross section
 Normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
  45.000     0.3969634175E+00    -0.2711734474E+00     0.0000000000E+00     0.0000000000E+00    -0.2711734474E+00     0.3969634175E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1893793344E+00    -0.4606707394E-01     0.0000000000E+00     0.0000000000E+00     0.4606707394E-01     0.1893793344E+00
  46.000     0.3769165874E+00    -0.2649291158E+00     0.0000000000E+00     0.0000000000E+00    -0.2649291158E+00     0.3769165874E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1675202847E+00    -0.3984634206E-01     0.0000000000E+00     0.0000000000E+00     0.3984634206E-01     0.1675202847E+00
  47.000     0.3577783406E+00    -0.2580055594E+00     0.0000000000E+00     0.0000000000E+00    -0.2580055594E+00     0.3577783406E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1462296247E+00    -0.3541442752E-01     0.0000000000E+00     0.0000000000E+00     0.3541442752E-01     0.1462296247E+00
  48.000     0.3398295045E+00    -0.2506705225E+00     0.0000000000E+00     0.0000000000E+00    -0.2506705225E+00     0.3398295045E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1261783838E+00    -0.3253301978E-01     0.0000000000E+00     0.0000000000E+00     0.3253301978E-01     0.1261783838E+00
  49.000     0.3231717050E+00    -0.2431973815E+00     0.0000000000E+00     0.0000000000E+00    -0.2431973815E+00     0.3231717050E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1076997593E+00    -0.3078868240E-01     0.0000000000E+00     0.0000000000E+00     0.3078868240E-01     0.1076997593E+00
  50.000     0.3077571392E+00    -0.2357931882E+00     0.0000000000E+00     0.0000000000E+00    -0.2357931882E+00     0.3077571392E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9080677480E-01    -0.2974613570E-01     0.0000000000E+00     0.0000000000E+00     0.2974613570E-01     0.9080677480E-01
  51.000     0.2934530973E+00    -0.2285631001E+00     0.0000000000E+00     0.0000000000E+00    -0.2285631001E+00     0.2934530973E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.7529202104E-01    -0.2907265164E-01     0.0000000000E+00     0.0000000000E+00     0.2907265164E-01     0.7529202104E-01
  52.000     0.2801102400E+00    -0.2215106338E+00     0.0000000000E+00     0.0000000000E+00    -0.2215106338E+00     0.2801102400E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6086156890E-01    -0.2860487811E-01     0.0000000000E+00     0.0000000000E+00     0.2860487811E-01     0.6086156890E-01
  53.000     0.2676156759E+00    -0.2145721465E+00     0.0000000000E+00     0.0000000000E+00    -0.2145721465E+00     0.2676156759E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4726240411E-01    -0.2835081518E-01     0.0000000000E+00     0.0000000000E+00     0.2835081518E-01     0.4726240411E-01
  54.000     0.2559165061E+00    -0.2076641619E+00     0.0000000000E+00     0.0000000000E+00    -0.2076641619E+00     0.2559165061E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3436614946E-01    -0.2843826450E-01     0.0000000000E+00     0.0000000000E+00     0.2843826450E-01     0.3436614946E-01
  55.000     0.2450165451E+00    -0.2007306516E+00     0.0000000000E+00     0.0000000000E+00    -0.2007306516E+00     0.2450165451E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2219609916E-01    -0.2903430350E-01     0.0000000000E+00     0.0000000000E+00     0.2903430350E-01     0.2219609916E-01
  56.000     0.2349528819E+00    -0.1937738508E+00     0.0000000000E+00     0.0000000000E+00    -0.1937738508E+00     0.2349528819E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1089960709E-01    -0.3026366979E-01     0.0000000000E+00     0.0000000000E+00     0.3026366979E-01     0.1089960709E-01
  57.000     0.2257642746E+00    -0.1868621856E+00     0.0000000000E+00     0.0000000000E+00    -0.1868621856E+00     0.2257642746E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6833356456E-03    -0.3215047345E-01     0.0000000000E+00     0.0000000000E+00     0.3215047345E-01     0.6833356456E-03
  58.000     0.2174638212E+00    -0.1801156849E+00     0.0000000000E+00     0.0000000000E+00    -0.1801156849E+00     0.2174638212E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.8263293654E-02    -0.3459652141E-01     0.0000000000E+00     0.0000000000E+00     0.3459652141E-01    -0.8263293654E-02
  59.000     0.2100240141E+00    -0.1736757904E+00     0.0000000000E+00     0.0000000000E+00    -0.1736757904E+00     0.2100240141E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.1583236828E-01    -0.3739765286E-01     0.0000000000E+00     0.0000000000E+00     0.3739765286E-01    -0.1583236828E-01
  60.000     0.2033758909E+00    -0.1676710695E+00     0.0000000000E+00     0.0000000000E+00    -0.1676710695E+00     0.2033758909E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.2203376964E-01    -0.4028867558E-01     0.0000000000E+00     0.0000000000E+00     0.4028867558E-01    -0.2203376964E-01
  61.000     0.1974203587E+00    -0.1621874124E+00     0.0000000000E+00     0.0000000000E+00    -0.1621874124E+00     0.1974203587E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.2699668519E-01    -0.4300059006E-01     0.0000000000E+00     0.0000000000E+00     0.4300059006E-01    -0.2699668519E-01
  62.000     0.1920459419E+00    -0.1572533697E+00     0.0000000000E+00     0.0000000000E+00    -0.1572533697E+00     0.1920459419E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.3094109893E-01    -0.4531381652E-01     0.0000000000E+00     0.0000000000E+00     0.4531381652E-01    -0.3094109893E-01
  63.000     0.1871462613E+00    -0.1528389156E+00     0.0000000000E+00     0.0000000000E+00    -0.1528389156E+00     0.1871462613E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.3413082287E-01    -0.4709321260E-01     0.0000000000E+00     0.0000000000E+00     0.4709321260E-01    -0.3413082287E-01
  64.000     0.1826335341E+00    -0.1488706470E+00     0.0000000000E+00     0.0000000000E+00    -0.1488706470E+00     0.1826335341E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.3682275489E-01    -0.4829888418E-01     0.0000000000E+00     0.0000000000E+00     0.4829888418E-01    -0.3682275489E-01
  65.000     0.1784434319E+00    -0.1452532858E+00     0.0000000000E+00     0.0000000000E+00    -0.1452532858E+00     0.1784434319E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.3922598064E-01    -0.4897325486E-01     0.0000000000E+00     0.0000000000E+00     0.4897325486E-01    -0.3922598064E-01
  66.000     0.1745338738E+00    -0.1418933719E+00     0.0000000000E+00     0.0000000000E+00    -0.1418933719E+00     0.1745338738E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.4147907719E-01    -0.4921165109E-01     0.0000000000E+00     0.0000000000E+00     0.4921165109E-01    -0.4147907719E-01
  67.000     0.1708780974E+00    -0.1387174577E+00     0.0000000000E+00     0.0000000000E+00    -0.1387174577E+00     0.1708780974E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.4364832491E-01    -0.4912609980E-01     0.0000000000E+00     0.0000000000E+00     0.4912609980E-01    -0.4364832491E-01
  68.000     0.1674571037E+00    -0.1356810778E+00     0.0000000000E+00     0.0000000000E+00    -0.1356810778E+00     0.1674571037E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.4574342817E-01    -0.4881335050E-01     0.0000000000E+00     0.0000000000E+00     0.4881335050E-01    -0.4574342817E-01
  69.000     0.1642523110E+00    -0.1327678561E+00     0.0000000000E+00     0.0000000000E+00    -0.1327678561E+00     0.1642523110E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.4774318635E-01    -0.4833398759E-01     0.0000000000E+00     0.0000000000E+00     0.4833398759E-01    -0.4774318635E-01
  70.000     0.1612422317E+00    -0.1299805939E+00     0.0000000000E+00     0.0000000000E+00    -0.1299805939E+00     0.1612422317E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.4962309450E-01    -0.4770661891E-01     0.0000000000E+00     0.0000000000E+00     0.4770661891E-01    -0.4962309450E-01
  71.000     0.1584026814E+00    -0.1273280978E+00     0.0000000000E+00     0.0000000000E+00    -0.1273280978E+00     0.1584026814E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.5137657374E-01    -0.4691598192E-01     0.0000000000E+00     0.0000000000E+00     0.4691598192E-01    -0.5137657374E-01
  72.000     0.1557093412E+00    -0.1248127520E+00     0.0000000000E+00     0.0000000000E+00    -0.1248127520E+00     0.1557093412E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.5302581564E-01    -0.4592987522E-01     0.0000000000E+00     0.0000000000E+00     0.4592987522E-01    -0.5302581564E-01
  73.000     0.1531408876E+00    -0.1224213243E+00     0.0000000000E+00     0.0000000000E+00    -0.1224213243E+00     0.1531408876E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.5462050810E-01    -0.4471949488E-01     0.0000000000E+00     0.0000000000E+00     0.4471949488E-01    -0.5462050810E-01
  74.000     0.1506831646E+00    -0.1201232448E+00     0.0000000000E+00     0.0000000000E+00    -0.1201232448E+00     0.1506831646E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.5622759089E-01    -0.4327659309E-01     0.0000000000E+00     0.0000000000E+00     0.4327659309E-01    -0.5622759089E-01
  75.000     0.1483293772E+00    -0.1178732440E+00     0.0000000000E+00     0.0000000000E+00    -0.1178732440E+00     0.1483293772E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.5791519582E-01    -0.4162281752E-01     0.0000000000E+00     0.0000000000E+00     0.4162281752E-01    -0.5791519582E-01
  76.000     0.1460801810E+00    -0.1156201810E+00     0.0000000000E+00     0.0000000000E+00    -0.1156201810E+00     0.1460801810E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.5973705649E-01    -0.3981033713E-01     0.0000000000E+00     0.0000000000E+00     0.3981033713E-01    -0.5973705649E-01
  77.000     0.1439400613E+00    -0.1133165210E+00     0.0000000000E+00     0.0000000000E+00    -0.1133165210E+00     0.1439400613E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.6172087416E-01    -0.3791386634E-01     0.0000000000E+00     0.0000000000E+00     0.3791386634E-01    -0.6172087416E-01
  78.000     0.1419148743E+00    -0.1109270304E+00     0.0000000000E+00     0.0000000000E+00    -0.1109270304E+00     0.1419148743E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.6386359036E-01    -0.3601754084E-01     0.0000000000E+00     0.0000000000E+00     0.3601754084E-01    -0.6386359036E-01
